FULL_ADDRE,zon_new,full_zonin,PIN,MAPBLOCKLO,hood,ZIP_CODE,POINT_X,POINT_Y
1 43RD ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0080N00001000001,80-N-1-0-1,Central Lawrenceville,15201,-79.965115,40.47426
1 MCCANDLESS AVE,RIV-GI,RIVERFRONT GENERAL INDUSTRIAL,0119R00080000000,119-R-80,Upper Lawrenceville,15201,-79.954233,40.483739
1 OHARA PL,UI,URBAN INDUSTRIAL,0026A00076000000,26-A-76,Lower Lawrenceville,15201,-79.962663,40.462326
1 OHARA PL APT 1,UI,URBAN INDUSTRIAL,0026A00076000000,26-A-76,Lower Lawrenceville,15201,-79.962663,40.462326
1 OHARA PL APT 2,UI,URBAN INDUSTRIAL,0026A00076000000,26-A-76,Lower Lawrenceville,15201,-79.962663,40.462326
1 OHARA PL APT 3,UI,URBAN INDUSTRIAL,0026A00076000000,26-A-76,Lower Lawrenceville,15201,-79.962663,40.462326
1 SAINT JOHN PL,UI,URBAN INDUSTRIAL,0026A00047000000,26-A-47,Lower Lawrenceville,15201,-79.96486,40.462225
1 SAINT JOHN PL APT 1,UI,URBAN INDUSTRIAL,0026A00047000000,26-A-47,Lower Lawrenceville,15201,-79.96486,40.462225
1 SAINT JOHN PL APT 2,UI,URBAN INDUSTRIAL,0026A00047000000,26-A-47,Lower Lawrenceville,15201,-79.96486,40.462225
1 SAINT JOHN PL APT 3,UI,URBAN INDUSTRIAL,0026A00047000000,26-A-47,Lower Lawrenceville,15201,-79.96486,40.462225
10 40TH ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0080N00006000000,80-N-6,Central Lawrenceville,15201,-79.965179,40.472734
100 40TH ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0049A00350000000,49-A-350,Central Lawrenceville,15201,-79.965127,40.470817
100 43RD ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0080N00018000000,80-N-18,Central Lawrenceville,15201,-79.96392,40.472866
100 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00147000000,80-N-147,Central Lawrenceville,15201,-79.962814,40.473481
100 49TH ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0080F00065000000,80-F-65,Central Lawrenceville,15201,-79.959094,40.47833
100 50TH ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0080F00075000000,80-F-75,Central Lawrenceville,15201,-79.957522,40.479185
101 43RD HALF ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00147000000,80-N-147,Central Lawrenceville,15201,-79.962966,40.473319
101 43RD ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00064000000,80-N-64,Central Lawrenceville,15201,-79.963045,40.472797
101 44TH ST APT 1,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00179000000,80-N-179,Central Lawrenceville,15201,-79.962476,40.473549
101 44TH ST APT 2,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00179000000,80-N-179,Central Lawrenceville,15201,-79.96244,40.473589
101 49TH ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0080F00075000000,80-F-75,Central Lawrenceville,15201,-79.958994,40.478636
102 1/2 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00145000000,80-N-145,Central Lawrenceville,15201,-79.962694,40.47343
102 43RD HALF ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00112000000,80-N-112,Central Lawrenceville,15201,-79.962978,40.47316
102 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00145000000,80-N-145,Central Lawrenceville,15201,-79.962723,40.473457
102 MCCANDLESS AVE,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080D00113000000,80-D-113,Upper Lawrenceville,15201,-79.952693,40.480804
103 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00179000000,80-N-179,Central Lawrenceville,15201,-79.962426,40.473517
103 44TH ST APT 1,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00179000000,80-N-179,Central Lawrenceville,15201,-79.962426,40.473517
103 44TH ST APT 2,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00179000000,80-N-179,Central Lawrenceville,15201,-79.962426,40.473517
103 49TH ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0080F00075000000,80-F-75,Central Lawrenceville,15201,-79.958718,40.478507
103 HONEYCRISP LN,RM-M,MULTI-UNIT RESIDENTIAL MODERATE DENSITY,0049C00158000000,49-C-158,Central Lawrenceville,15201,-79.956306,40.472658
104 1/2 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00143000000,80-N-143,Central Lawrenceville,15201,-79.962621,40.47338
104 43RD HALF ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00113000000,80-N-113,Central Lawrenceville,15201,-79.96294,40.473131
104 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00145000000,80-N-145,Central Lawrenceville,15201,-79.962663,40.473415
105 40TH ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0049A00320000000,49-A-320,Central Lawrenceville,15201,-79.965012,40.47144
105 43RD ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00063000000,80-N-63,Central Lawrenceville,15201,-79.96296,40.472773
105 47TH ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0080K00090000000,80-K-90,Central Lawrenceville,15201,-79.960895,40.476479
105 53RD ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080D00071000A00,80-D-71-A,Upper Lawrenceville,15201,-79.951935,40.481888
106 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00142000000,80-N-142,Central Lawrenceville,15201,-79.962571,40.473346
106 53RD ST,LNC,LOCAL NEIGHBORHOOD COMMERCIAL,0080D00004000000,80-D-4,Upper Lawrenceville,15201,-79.952348,40.481866
107 43RD HALF ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00144000100,80-N-144-1,Central Lawrenceville,15201,-79.962789,40.473228
107 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00182000000,80-N-182,Central Lawrenceville,15201,-79.96238,40.473504
107 47TH ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0080K00090000000,80-K-90,Central Lawrenceville,15201,-79.960827,40.47643
107 HONEYCRISP LN,RM-M,MULTI-UNIT RESIDENTIAL MODERATE DENSITY,0049C00158000000,49-C-158,Central Lawrenceville,15201,-79.956245,40.472611
108 43RD HALF ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00115000000,80-N-115,Central Lawrenceville,15201,-79.962879,40.473082
108 43RD ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0080N00041000000,80-N-41,Central Lawrenceville,15201,-79.963119,40.472442
108 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00141000200,80-N-141-2,Central Lawrenceville,15201,-79.962533,40.473319
109 42ND ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00025000000,49-A-25,Central Lawrenceville,15201,-79.963135,40.472154
109 43RD HALF ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00144000200,80-N-144-2,Central Lawrenceville,15201,-79.96275,40.473166
109 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00182000A00,80-N-182-A,Central Lawrenceville,15201,-79.962351,40.47348
109 48TH ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0080F00034000000,80-F-34,Central Lawrenceville,15201,-79.960791,40.478965
110 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00141000100,80-N-141-1,Central Lawrenceville,15201,-79.96249,40.473291
110 57TH ST,R1D-H,SINGLE-UNIT DETACHED RESIDENTIAL HIGH DENSITY,0120J00207000000,120-J-207,Upper Lawrenceville,15201,-79.946023,40.484769
111 35TH ST,RIV-IMU,RIVERFRONT INDUSTRIAL MIXED USE,0048M00118000000,48-M-118,Lower Lawrenceville,15201,-79.968188,40.465161
111 42ND ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0049A00026000000,49-A-26,Central Lawrenceville,15201,-79.963102,40.472118
111 43RD HALF ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00141000000,80-N-141,Central Lawrenceville,15201,-79.962725,40.473149
111 44TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080N00185000000,80-N-185,Central Lawrenceville,15201,-79.962321,40.473434
111 45TH ST,R1A-VH,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,0080P00135000000,80-P-135,Central Lawrenceville,15201,-79.961806,40.47409
