Address,Business Name,Rating,Latitude,Longitude
181 43rd st,Cork Harbour Pub,4.7,40.4712592,-79.9608723
183 43rd st,River City Growers,,40.4712137,-79.9608216
3711 charlotte st,Eleventh Hour Brewing,4.6,40.467035,-79.9654264
4724 plummer st,Material Witness Showroom,,40.4752213,-79.9582331
4900 hatfield st,Evolve Beauty Collective,5,40.4775192,-79.9574956
4901 hatfield st,Stinky's Bar & Grill,4.5,40.4777234,-79.9577681
5137 holmes st,Javo Studios,5,40.4785219,-79.9524184
1 43rd st,43rd Street Concrete,4.5,40.4751821,-79.9645814
1 mccandless ave,Barber Spring Co,4,40.4837243,-79.9553408
100 43rd st,Curiosity Shop,4.9,40.4728608,-79.9638889
100 43rd st,Curiosity Shop,4.9,40.4729243,-79.9639465
100 43rd st,"ProtoInnovations, LLC",5,40.47287370000001,-79.9638856
100 43rd st,Pittsburgh Ultimate,5,40.4726675,-79.9638216
100 43rd st,Ice House Studios,4.8,40.472912,-79.9636963
100 43rd st,Associated Artists of Pittsburgh,5,40.4731817,-79.9636911
100 43rd st,Elan Mizrahi Photography,5,40.4729254,-79.963728
115 41st st,Bay 41,3.5,40.47160409999999,-79.9642964
115 41st st,Fort Willow Developers,3,40.4714289,-79.9637727
115 41st st,Lawrenceville Farmers Market,4.8,40.4714793,-79.9638593
116 34th st,Strip Self Storage,4.3,40.4632423,-79.9694943
118 52nd st,Goodwill of Southwestern Pennsylvania,4.4,40.4805637,-79.9559599
119 41st st,Rainbow Row,4.3,40.471287,-79.9638069
12 mccandless ave,The Big Easy Animal Hospital,4.3,40.4832633,-79.9559229
125 51st st,Thriftique,3.2,40.4800342,-79.9569667
137 41st st,Stillpoint - Soto Zen,4,40.4710408,-79.9632363
141 41st st,Catalyst Lofts,4.5,40.4708499,-79.9626619
143 51st st,Iron City Boulders,4.9,40.4798836,-79.9569952
145 44th st,Mauney Doty L,3.7,40.47284570000001,-79.9612628
145 44th st,"Renee Jennings, MA, MSW, LCSW",5,40.4728078,-79.9613218
146 44th st,Cattivo,4.5,40.4725156,-79.9616872
149 43rd st,KShu Media - Video Editing and Photo Editing,5,40.4718503,-79.9617377
155 51st st,Goodwill E-Commerce Pickup,5,40.4796143,-79.9565451
158 41st st,Pittsburgh Plant Co.,4.8,40.470409,-79.9626773
160 52nd st,Goodwill of Southwestern Pennsylvania,4,40.4806714,-79.9561669
181 43rd st,Cork Harbour Pub,4.7,40.4712592,-79.9608723
183 43rd st,River City Growers,,40.4712137,-79.9608216
184 41st st,Orange Astronaut,4.8,40.4698445,-79.9620118
188 43rd st,Merritt Chase,,40.4707355,-79.9610699
193 43rd st,"George Bernard Sestric, MD",3.5,40.4708505,-79.9604617
193 43rd st,"George Bernard Sestric, MD",3.5,40.4709214,-79.9604064
193 43rd st,"Dr. Philip J. Cichon, MD",5,40.4708505,-79.9604618
207 34th st,Doughboy Park,,40.4625929,-79.9669619
208 fisk st,Polish Eagles Society,4.9,40.4689862,-79.9613179
208 main st,Ron Donoughe,5,40.4695931,-79.9607654
211 52nd st,Sunnyside Medical Cannabis Dispensary Pittsburgh - Lawrenceville,4.3,40.4810531,-79.9547671
212 1/2 44th st,Arsenal Bowl,4.1,40.471189,-79.9595354
212 44th st,Raise Fitness,5,40.471189,-79.9595354
212 45th st,Attack Theatre,4.5,40.4718797,-79.9591766
212 45th st,Quantum Theatre,4.8,40.4716528,-79.9591855
212 45th st,Butler Street Lofts,1,40.4717417,-79.9591821
216 44th st,"Walter J. Zalewski Funeral Homes, Inc.",4.7,40.4709689,-79.9593557
221 43rd st,New Bethel Baptist Church,4.6,40.47046030000001,-79.9596712
223 main st,Main St + Howley,0,40.46434,-79.953484
230 43rd st,The Things You Want,,40.46996629999999,-79.9593383
230 main st,Not Forgotten Home & Community Services,4.7,40.4689553,-79.9600854
243 fisk st,Julius Jason M DDS,5,40.4683881,-79.9600603
255 main st,Silver Apple Gallery,5,40.46867110000001,-79.959034
258 main st,"Altered Genius Brewing Co. 2, Trailside Taproom",4.8,40.4683838,-79.9592338
279 fisk st,Carnegie Library of Pittsburgh - Lawrenceville,4.7,40.4675773,-79.9590953
279 fisk st,Carnegie Library of Pittsburgh - Lawrenceville,4.7,40.4676128,-79.9590515
28 mccandless ave,Harvie,4.7,40.4829564,-79.9550012
280 main st,"Massachusetts Ear, Nose and Throat Associates",4.1,40.4681213,-79.9582791
285 45th st,Kelly's Korner,4.6,40.4706761,-79.9569121
286 main st,CYA-Stephen Foster Community Center,4.2,40.46766799999999,-79.958663
305 34th st,Dress For Success Pittsburgh,4.8,40.4621024,-79.9662747
310 fisk st,Family Hospice,4,40.4659797,-79.9579565
310 fisk st,Canterbury Place,3.7,40.4661521,-79.9583097
310 fisk st,Canterbury Place,3.7,40.4660913,-79.9581117
310 fisk st,Transitional Rehabilitation at Canterbury Place,5,40.4662815,-79.9584636
314 main st,Mind Your Body Wellness Center,3,40.467073,-79.957605
319 main st,Elaine Zajicek's Hair Salon,3.1,40.4672603,-79.9571367
320 main st,Main St + E James,0,40.391523,-79.90045
3301 smallman st,Pittsburgh Tire,4.4,40.46285090000001,-79.969315
331 main st,331 Main Pizzeria,3.9,40.9138941,-74.1731113
333 45th st,Our Lady of the Angels Parish,4.4,40.4699635,-79.9558283
3340 smallman st,Pittsburgh Kitchenramma,3.8,40.4628416,-79.968384
3400 smallman st,Mark's Truck & Auto Care,5,40.46320029999999,-79.9682034
3419 smallman st,Pressure Chemical Co,5,40.463963,-79.968382
3433 smallman st,Allegheny Plywood Co,4.5,40.4642779,-79.9680799
347 main st,Schifino Design,,40.4666398,-79.9562846
350 main st,350 Main St Garage,3.3,42.8840328,-78.875971
3509 smallman st,Salonika Imports,4.8,40.4647526,-79.9678231
3527 smallman st,Neumeyer Environmental Services Inc,4.7,40.4652411,-79.9672918
353 main st,353 Main Street | Family Apartments,3.6,37.491362,-122.2266101
3614 smallman st,Oyster Creative Co.,5,40.4664289,-79.9666142
365 main st,Main St + Howley,0,40.46434,-79.953484
371 main st,Main St & 371 Main St,0,41.598968,-72.645797
3711 charlotte st,Eleventh Hour Brewing,4.6,40.467035,-79.9654264
376 fisk st,"Dialysis Clinic, Inc.",,40.4656954,-79.9573672
3922 foster st,Arsenal 201,4.3,40.468942,-79.9646816
40 51st st,CleanCare,3.1,40.4804067,-79.959818
4307 willow st,Pittsburgh Mobile Mechanic Co.,5,40.472691,-79.9628169
4501 hatfield st,"Carnegie Robotics, LLC",5,40.4745931,-79.9623073
451 44th st,Ronald McDonald House,4.4,40.467431,-79.9539156
4514 plummer st,Radiant Hall Studios,4.9,40.4734789,-79.9603211
4615 eden way,Genesis Concrete Structures,,40.4735108,-79.9588854
4642 hatfield st,HAUTE Beauty Lounge,5,40.4753347,-79.9602097
4719 hatfield st,Run Rabbit Gilding,5,40.4761693,-79.9597229
472 44th st,Thai Table & Kitchen,4.8,40.4665389,-79.9539211
4724 plummer st,Material Witness Showroom,,40.4752213,-79.9582331
4743 plummer st,Busy Beaver,4.3,40.4753491,-79.9587572
4747 hatfield st,Studio Bash,5,40.476705,-79.9590604
4818 harrison st,"Cromie Machine, LLC",,40.4774049,-79.958901
4821 harrison st,Custom Manufacturing & Industrial Services,5,40.4775464,-79.9592372
4826 hatfield st,Hatfield Row,,40.4770062,-79.9581814
4840 harrison st,Locomotive Lofts,4.4,40.477815,-79.9585737
4900 hatfield st,Evolve Beauty Collective,5,40.4775192,-79.9574956
4901 hatfield st,Stinky's Bar & Grill,4.5,40.4777234,-79.9577681
5137 holmes st,Javo Studios,5,40.4785219,-79.9524184
530 45th st,Betul N Bayraktutar,5,40.4668346,-79.9521937
5410 harrison st,Lawrenceville Distilling Co.,4.9,40.4834545,-79.9513965
5600 harrison st,Accel Sign Group Inc,3,40.4849373,-79.9483141
601 52nd st,52nd Street Market,4.7,40.478818,-79.9519543
91 43rd st,Helomics Corporation,4.2,40.473351,-79.963422
1 43rd st,43rd Street Concrete,4.5,40.4751821,-79.9645814
1 mccandless ave,Barber Spring Co,4,40.4837243,-79.9553408
100 43rd st,Curiosity Shop,4.9,40.4728608,-79.9638889
100 43rd st,Curiosity Shop,4.9,40.4729243,-79.9639465
100 43rd st,"ProtoInnovations, LLC",5,40.47287370000001,-79.9638856
100 43rd st,Pittsburgh Ultimate,5,40.4726675,-79.9638216
100 43rd st,Ice House Studios,4.8,40.472912,-79.9636963
100 43rd st,Associated Artists of Pittsburgh,5,40.4731817,-79.9636911
100 43rd st,Elan Mizrahi Photography,5,40.4729254,-79.963728
115 41st st,Bay 41,3.5,40.47160409999999,-79.9642964
115 41st st,Fort Willow Developers,3,40.4714289,-79.9637727
115 41st st,Lawrenceville Farmers Market,4.8,40.4714793,-79.9638593
116 34th st,Strip Self Storage,4.3,40.4632423,-79.9694943
118 52nd st,Goodwill of Southwestern Pennsylvania,4.4,40.4805637,-79.9559599
119 41st st,Rainbow Row,4.3,40.471287,-79.9638069
12 mccandless ave,The Big Easy Animal Hospital,4.3,40.4832633,-79.9559229
125 51st st,Thriftique,3.2,40.4800342,-79.9569667
137 41st st,Stillpoint - Soto Zen,4,40.4710408,-79.9632363
137 41st st,Stillpoint - Soto Zen,4,40.47102719999999,-79.9632428
141 41st st,Catalyst Lofts,4.5,40.4708499,-79.9626619
143 51st st,Iron City Boulders,4.9,40.4798836,-79.9569952
145 44th st,Mauney Doty L,3.7,40.47284570000001,-79.9612628
145 44th st,"Renee Jennings, MA, MSW, LCSW",5,40.4728078,-79.9613218
145 44th st,Mauney Doty L,3.7,40.47280420000001,-79.9613167
146 44th st,Cattivo,4.5,40.4725388,-79.9616418
146 44th st,Cattivo,4.5,40.4725156,-79.9616872
149 43rd st,KShu Media - Video Editing and Photo Editing,5,40.4718503,-79.9617377
155 51st st,Goodwill E-Commerce Pickup,5,40.4796143,-79.9565451
158 41st st,Pittsburgh Plant Co.,4.8,40.470409,-79.9626773
160 52nd st,Goodwill of Southwestern Pennsylvania,4,40.4806714,-79.9561669
181 43rd st,Cork Harbour Pub,4.7,40.4712592,-79.9608723
183 43rd st,River City Growers,,40.4712137,-79.9608216
184 41st st,Orange Astronaut,4.8,40.4698445,-79.9620118
188 43rd st,Merritt Chase,,40.4707355,-79.9610699
193 43rd st,"George Bernard Sestric, MD",3.5,40.4708505,-79.9604617
193 43rd st,"George Bernard Sestric, MD",3.5,40.4709214,-79.9604064
193 43rd st,"Dr. Philip J. Cichon, MD",5,40.4708505,-79.9604618
207 34th st,Doughboy Park,,40.4625929,-79.9669619
208 fisk st,Polish Eagles Society,4.9,40.4689862,-79.9613179
208 main st,Ron Donoughe,5,40.4695931,-79.9607654
211 52nd st,Sunnyside Medical Cannabis Dispensary Pittsburgh - Lawrenceville,4.3,40.4810531,-79.9547671
212 1/2 44th st,Arsenal Bowl,4.1,40.471189,-79.9595354
212 44th st,Raise Fitness,5,40.471189,-79.9595354
212 45th st,Attack Theatre,4.5,40.4718797,-79.9591766
212 45th st,Quantum Theatre,4.8,40.4716528,-79.9591855
212 45th st,Butler Street Lofts,1,40.4717417,-79.9591821
216 44th st,"Walter J. Zalewski Funeral Homes, Inc.",4.7,40.4709689,-79.9593557
221 43rd st,New Bethel Baptist Church,4.6,40.47046030000001,-79.9596712
223 main st,Main St + Howley,0,40.46434,-79.953484
230 43rd st,The Things You Want,,40.46996629999999,-79.9593383
230 main st,Not Forgotten Home & Community Services,4.7,40.4689553,-79.9600854
243 fisk st,Julius Jason M DDS,5,40.4683881,-79.9600603
255 main st,Silver Apple Gallery,5,40.46867110000001,-79.959034
258 main st,"Altered Genius Brewing Co. 2, Trailside Taproom",4.8,40.4683838,-79.9592338
279 fisk st,Carnegie Library of Pittsburgh - Lawrenceville,4.7,40.4675773,-79.9590953
279 fisk st,Carnegie Library of Pittsburgh - Lawrenceville,4.7,40.4676128,-79.9590515
28 mccandless ave,Harvie,4.7,40.4829564,-79.9550012
280 main st,"Massachusetts Ear, Nose and Throat Associates",4.1,40.4681213,-79.9582791
285 45th st,Kelly's Korner,4.6,40.4706761,-79.9569121
286 main st,CYA-Stephen Foster Community Center,4.2,40.46766799999999,-79.958663
305 34th st,Dress For Success Pittsburgh,4.8,40.4621024,-79.9662747
310 fisk st,Family Hospice,4,40.4659797,-79.9579565
310 fisk st,Canterbury Place,3.7,40.4661521,-79.9583097
310 fisk st,Canterbury Place,3.7,40.4660913,-79.9581117
310 fisk st,Transitional Rehabilitation at Canterbury Place,5,40.4662815,-79.9584636
314 main st,Mind Your Body Wellness Center,3,40.467073,-79.957605
319 main st,Elaine Zajicek's Hair Salon,3.1,40.4672603,-79.9571367
320 main st,Main St + E James,0,40.391523,-79.90045
3301 smallman st,Pittsburgh Tire,4.4,40.46285090000001,-79.969315
331 main st,331 Main Pizzeria,3.9,40.9138941,-74.1731113
333 45th st,Our Lady of the Angels Parish,4.4,40.4699635,-79.9558283
3340 smallman st,Pittsburgh Kitchenramma,3.8,40.4628416,-79.968384
3400 smallman st,Mark's Truck & Auto Care,5,40.46320029999999,-79.9682034
3419 smallman st,Pressure Chemical Co,5,40.463963,-79.968382
3433 smallman st,Allegheny Plywood Co,4.5,40.4642779,-79.9680799
347 main st,Schifino Design,,40.4666398,-79.9562846
350 main st,350 Main St Garage,3.3,42.8840328,-78.875971
3509 smallman st,Salonika Imports,4.8,40.4647526,-79.9678231
3527 smallman st,Neumeyer Environmental Services Inc,4.7,40.4652411,-79.9672918
353 main st,353 Main Street | Family Apartments,3.6,37.491362,-122.2266101
3614 smallman st,Oyster Creative Co.,5,40.4664289,-79.9666142
365 main st,Main St + Howley,0,40.46434,-79.953484
